# Базовые веса при max_tier=5 (семья открыта до TA5). Одна строка на run_level.
# max_tier=1..4 в игре: первые N tier, перенормировка - см. tier_probabilities_map1().
run_level	drop_profile	segment_t	tier1_pct	tier2_pct	tier3_pct	tier4_pct	tier5_pct
1	1	0.0000	100.00	0.00	0.00	0.00	0.00
2	1	0.0588	98.24	1.76	0.00	0.00	0.00
3	1	0.1176	96.47	3.53	0.00	0.00	0.00
4	1	0.1765	94.71	5.29	0.00	0.00	0.00
5	1	0.2353	92.94	7.06	0.00	0.00	0.00
6	1	0.2941	91.18	8.82	0.00	0.00	0.00
7	1	0.3529	89.41	10.59	0.00	0.00	0.00
8	1	0.4118	87.65	12.35	0.00	0.00	0.00
9	1	0.4706	85.88	14.12	0.00	0.00	0.00
10	1	0.5294	84.12	15.88	0.00	0.00	0.00
11	1	0.5882	82.35	17.65	0.00	0.00	0.00
12	1	0.6471	80.59	19.41	0.00	0.00	0.00
13	1	0.7059	78.82	21.18	0.00	0.00	0.00
14	1	0.7647	77.06	22.94	0.00	0.00	0.00
15	1	0.8235	75.29	24.71	0.00	0.00	0.00
16	1	0.8824	73.53	26.47	0.00	0.00	0.00
17	1	0.9412	71.76	28.24	0.00	0.00	0.00
18	1	1.0000	70.00	30.00	0.00	0.00	0.00
19	2	0.0000	70.00	30.00	0.00	0.00	0.00
20	2	0.0370	68.89	30.93	0.19	0.00	0.00
21	2	0.0741	67.78	31.85	0.37	0.00	0.00
22	2	0.1111	66.67	32.78	0.56	0.00	0.00
23	2	0.1481	65.56	33.70	0.74	0.00	0.00
24	2	0.1852	64.44	34.63	0.93	0.00	0.00
25	2	0.2222	63.33	35.56	1.11	0.00	0.00
26	2	0.2593	62.22	36.48	1.30	0.00	0.00
27	2	0.2963	61.11	37.41	1.48	0.00	0.00
28	2	0.3333	60.00	38.33	1.67	0.00	0.00
29	2	0.3704	58.89	39.26	1.85	0.00	0.00
30	2	0.4074	57.78	40.19	2.04	0.00	0.00
31	2	0.4444	56.67	41.11	2.22	0.00	0.00
32	2	0.4815	55.56	42.04	2.41	0.00	0.00
33	2	0.5185	54.44	42.96	2.59	0.00	0.00
34	2	0.5556	53.33	43.89	2.78	0.00	0.00
35	2	0.5926	52.22	44.81	2.96	0.00	0.00
36	2	0.6296	51.11	45.74	3.15	0.00	0.00
37	2	0.6667	50.00	46.67	3.33	0.00	0.00
38	2	0.7037	48.89	47.59	3.52	0.00	0.00
39	2	0.7407	47.78	48.52	3.70	0.00	0.00
40	2	0.7778	46.67	49.44	3.89	0.00	0.00
41	2	0.8148	45.56	50.37	4.07	0.00	0.00
42	2	0.8519	44.44	51.30	4.26	0.00	0.00
43	2	0.8889	43.33	52.22	4.44	0.00	0.00
44	2	0.9259	42.22	53.15	4.63	0.00	0.00
45	2	0.9630	41.11	54.07	4.81	0.00	0.00
46	2	1.0000	40.00	55.00	5.00	0.00	0.00
47	3	0.0000	40.00	55.00	5.00	0.00	0.00
48	3	0.0625	39.38	54.06	6.38	0.19	0.00
49	3	0.1250	38.75	53.13	7.75	0.38	0.00
50	3	0.1875	38.13	52.19	9.13	0.56	0.00
51	3	0.2500	37.50	51.25	10.50	0.75	0.00
52	3	0.3125	36.88	50.31	11.88	0.94	0.00
53	3	0.3750	36.25	49.38	13.25	1.13	0.00
54	3	0.4375	35.63	48.44	14.63	1.31	0.00
55	3	0.5000	35.00	47.50	16.00	1.50	0.00
56	3	0.5625	34.38	46.56	17.38	1.69	0.00
57	3	0.6250	33.75	45.63	18.75	1.88	0.00
58	3	0.6875	33.13	44.69	20.13	2.06	0.00
59	3	0.7500	32.50	43.75	21.50	2.25	0.00
60	3	0.8125	31.88	42.81	22.88	2.44	0.00
61	3	0.8750	31.25	41.88	24.25	2.63	0.00
62	3	0.9375	30.63	40.94	25.63	2.81	0.00
63	3	1.0000	30.00	40.00	27.00	3.00	0.00
64	4	0.0000	30.00	40.00	27.00	3.00	0.00
65	4	0.0625	29.06	39.38	27.50	3.88	0.19
66	4	0.1250	28.13	38.75	28.00	4.75	0.38
67	4	0.1875	27.19	38.13	28.50	5.63	0.56
68	4	0.2500	26.25	37.50	29.00	6.50	0.75
69	4	0.3125	25.31	36.88	29.50	7.38	0.94
70	4	0.3750	24.38	36.25	30.00	8.25	1.13
71	4	0.4375	23.44	35.63	30.50	9.13	1.31
72	4	0.5000	22.50	35.00	31.00	10.00	1.50
73	4	0.5625	21.56	34.38	31.50	10.88	1.69
74	4	0.6250	20.63	33.75	32.00	11.75	1.88
75	4	0.6875	19.69	33.13	32.50	12.63	2.06
76	4	0.7500	18.75	32.50	33.00	13.50	2.25
77	4	0.8125	17.81	31.88	33.50	14.38	2.44
78	4	0.8750	16.88	31.25	34.00	15.25	2.63
79	4	0.9375	15.94	30.63	34.50	16.13	2.81
80	4	1.0000	15.00	30.00	35.00	17.00	3.00
81	5	0.0000	15.00	30.00	35.00	17.00	3.00
82	5	0.0526	14.58	29.74	34.74	17.58	3.37
83	5	0.1053	14.16	29.47	34.47	18.16	3.74
