sec	run_xp_total	run_lvl	player_xp_total	player_lvl
0	0.00	1	0	1
1	0.00	1	0	1
2	0.00	1	0	1
3	0.00	1	0	1
4	0.00	1	0	1
5	0.00	1	0	1
6	0.00	1	0	1
7	0.00	1	0	1
8	0.00	1	0	1
9	0.00	1	0	1
10	0.00	1	0	1
11	0.00	1	0	1
12	0.00	1	10	1
13	0.00	1	10	1
14	0.00	1	20	1
15	0.00	1	20	1
16	0.00	1	30	1
17	0.00	1	30	1
18	0.50	1	40	1
19	0.50	1	40	1
20	0.50	1	40	1
21	0.50	1	40	1
22	1.00	1	60	1
23	1.50	1	70	1
24	2.50	1	80	1
25	3.00	1	90	1
26	3.00	1	100	1
27	3.00	1	110	1
28	3.50	1	120	1
29	3.50	1	130	1
30	3.50	1	140	1
31	3.50	1	160	1
32	3.50	1	170	1
33	3.50	1	180	1
34	3.50	1	190	1
35	3.50	1	190	1
36	3.50	1	201	1
37	4.50	1	201	1
38	4.50	1	212	1
39	4.50	1	212	1
40	4.50	1	223	1
41	4.50	1	223	1
42	5.50	1	235	1
43	6.00	1	235	1
44	7.00	1	248	1
45	7.00	1	261	1
# LEVELUP	sec=45.94	run_lvl=2	run_xp_total=8.00
46	9.00	2	275	1
47	9.00	2	275	1
48	9.00	2	289	1
49	9.00	2	299	1
50	9.50	2	299	1
51	11.50	2	310	1
52	11.50	2	322	1
53	11.50	2	322	1
54	11.50	2	335	1
55	11.50	2	348	1
56	11.50	2	348	1
57	11.50	2	374	1
58	11.50	2	374	1
59	12.50	2	416	1
60	13.00	2	416	1
61	13.00	2	444	1
62	13.00	2	444	1
63	14.50	2	458	1
64	16.00	2	458	1
65	16.00	2	472	1
66	16.00	2	486	1
67	16.00	2	528	1
68	16.00	2	528	1
69	16.00	2	528	1
70	16.00	2	528	1
71	16.00	2	528	1
72	16.00	2	528	1
73	16.00	2	542	1
74	16.00	2	556	1
